      Step     Time          Energy          fmax
FIRE:    0 02:01:26        1.000092        0.028991
FIRE:    1 02:01:26        1.000085        0.026467
FIRE:    2 02:01:26        1.000071        0.023892
FIRE:    3 02:01:26        1.000054        0.020792
FIRE:    4 02:01:26        1.000035        0.016820
FIRE:    5 02:01:26        1.000018        0.012114
FIRE:    6 02:01:26        1.000006        0.012181
FIRE:    7 02:01:26        1.000000        0.017528
FIRE:    8 02:01:26        1.000001        0.020726
FIRE:    9 02:01:26        1.000009        0.020562
FIRE:   10 02:01:26        1.000019        0.016208
FIRE:   11 02:01:26        1.000027        0.014759
FIRE:   12 02:01:26        1.000028        0.014852
FIRE:   13 02:01:26        1.000026        0.014466
FIRE:   14 02:01:26        1.000023        0.013706
FIRE:   15 02:01:26        1.000020        0.012592
FIRE:   16 02:01:26        1.000016        0.011154
FIRE:   17 02:01:26        1.000011        0.009435
FIRE:   18 02:01:26        1.000007        0.007559
FIRE:   19 02:01:26        1.000004        0.007111
FIRE:   20 02:01:26        1.000001        0.006510
FIRE:   21 02:01:26        1.000000        0.005685
FIRE:   22 02:01:26        1.000001        0.004808
