      Step     Time          Energy          fmax
FIRE:    0 02:01:26        1.320000        1.600000
FIRE:    1 02:01:26        1.294912        1.536000
FIRE:    2 02:01:26        1.248732        1.410624
FIRE:    3 02:01:26        1.188846        1.229133
FIRE:    4 02:01:26        1.124831        0.999323
FIRE:    5 02:01:26        1.066853        0.731315
FIRE:    6 02:01:26        1.023908        0.495817
FIRE:    7 02:01:26        1.002174        0.279015
FIRE:    8 02:01:26        1.004746        0.194859
FIRE:    9 02:01:26        1.004632        0.192501
FIRE:   10 02:01:26        1.004409        0.187814
FIRE:   11 02:01:26        1.004089        0.180858
FIRE:   12 02:01:26        1.003686        0.171722
FIRE:   13 02:01:26        1.003221        0.160527
FIRE:   14 02:01:26        1.002717        0.147423
FIRE:   15 02:01:26        1.002198        0.132594
FIRE:   16 02:01:26        1.001637        0.114447
FIRE:   17 02:01:26        1.001073        0.092643
FIRE:   18 02:01:26        1.000561        0.067011
FIRE:   19 02:01:26        1.000178        0.050209
FIRE:   20 02:01:26        1.000004        0.043723
FIRE:   21 02:01:26        1.000092        0.028991
